Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Alitretinoina;ALITRETINOINA 10MG 30 UNITA' USO ORALE;ALITRECARE*30 cps molli 10 mg;370,08;224,24;-;DIFA COOPER SpA;047411018;ACY;
Alitretinoina;ALITRETINOINA 30MG 30 UNITA' USO ORALE;ALITRECARE*30 cps molli 30 mg;370,08;224,24;-;DIFA COOPER SpA;047411020;ACZ;
Melfalan;MELFALAN 50MG 10ML 1 UNITA' USO PARENTERALE;ALKERAN*1 flaconcino EV 50 mg + 1 flaconcino solv 10 ml;105,31;63,81;-;ASPEN PHARMA TRADING LIMITED;021250028;BDO;
Flecainide;FLECAINIDE 150MG 15ML 5 UNITA' USO PARENTERALE;ALMARYTM*5 fiale EV 150 mg 15 ml;30,48;13,85;-;VIATRIS HEALTHCARE LIMITED;025728027;AQK;
Palonosetron;PALONOSETRON 250MCG 5ML 1 UNITA' USO PARENTERALE;ALOXI*1 flacone EV 250 mcg 5 ml;107,25;64,98;-;HELSINN BIREX PHARMAC.LTD;036742017;BHI;
Alprostadil;ALPROSTADIL 20MCG 1 UNITA' USO PARENTERALE;ALPROSTAR*1 fiala EV EA 20 mcg;14,44;6,56;-;RECORDATI SpA;027666015;ADH;
Alprostadil;ALPROSTADIL 60MCG 1 UNITA' USO PARENTERALE;ALPROSTAR*1 fiala EV EA 60 mcg;31,97;19,37;-;RECORDATI SpA;027666039;ADJ;
Brigatinib;BRIGATINIB 180MG 28 UNITA' USO ORALE;ALUNBRIG*28 cpr riv 180 mg;7771,73;4709,00;-;TAKEDA PHARMA A/S;047416108;LFH;
Brigatinib;BRIGATINIB 30MG 28 UNITA' USO ORALE;ALUNBRIG*28 cpr riv 30 mg;1295,29;784,83;-;TAKEDA PHARMA A/S;047416110;LFF;
Brigatinib;BRIGATINIB 90MG 28 UNITA' USO ORALE;ALUNBRIG*28 cpr riv 90 mg;3885,86;2354,50;-;TAKEDA PHARMA A/S;047416084;LFG;
Brigatinib;BRIGATINIB 90MG 7 UNITA' + 180MG 21 UNITA' USO ORALE;ALUNBRIG*7 cpr riv 90 mg + 21 cpr riv 180 mg;7771,73;4709,00;-;TAKEDA PHARMA A/S;047416122;LFI;
